7:47:37 AM,SELL,2631.45,0.0095,24.999,ETH,BUSD,0.345,34.706,0.72030000
2:47:38 PM,BUY,2694.57,0.0091,24.521,BUSD,ETH,N/A,34.043,0.72030000
4:01:02 PM,BUY,2694.57000000,0.00910000,24.521,BUSD,ETH,N/A,34.033,0.72050000
